# v1 cointegration corpus retired 2026-05-30
# 398 rows from cointegration_sheet tagged methodology_version=v1_raw_adf
# columns: run_id | directive_id | pair_a | pair_b | is_current | completed_at_utc
#
ed9963863989a0cf585c2e47 | 90_PORT_AUDUSDGBPJPY_15M_COINTREV_V3_L30__E250827 | AUDUSD | GBPJPY | 1 | 2026-05-28T14:38:17Z
593f661cf4aa664a4f58ee21 | 90_PORT_AUDNZDEUSTX50_15M_COINTREV_V3_L30__E251212 | AUDNZD | EUSTX50 | 1 | 2026-05-28T14:38:18Z
9fbd966831156e7da9fee933 | 90_PORT_AUDUSDGBPNZD_15M_COINTREV_V3_L30__E251203 | AUDUSD | GBPNZD | 1 | 2026-05-28T14:38:20Z
556ee4178c06a0de7b6ccd60 | 90_PORT_AUDNZDJPN225_15M_COINTREV_V3_L30__E250422 | AUDNZD | JPN225 | 1 | 2026-05-28T14:38:22Z
0db8c31946e333faf53572cf | 90_PORT_AUDUSDGER40_15M_COINTREV_V3_L30__E260410 | AUDUSD | GER40 | 1 | 2026-05-28T14:38:26Z
2f36c99e67302d4c91c4ab92 | 90_PORT_AUDUSDFRA40_15M_COINTREV_V3_L30__E260401 | AUDUSD | FRA40 | 1 | 2026-05-28T14:38:26Z
46b48b54d3ac81c0af2b2afd | 90_PORT_AUDUSDBTCUSD_15M_COINTREV_V3_L30__E250120 | AUDUSD | BTCUSD | 1 | 2026-05-28T14:38:26Z
775f122463b23204d2600bd3 | 90_PORT_AUDNZDJPN225_15M_COINTREV_V3_L30__E241212 | AUDNZD | JPN225 | 1 | 2026-05-28T14:38:26Z
02b5196b50107f0a72ced351 | 90_PORT_AUDNZDFRA40_15M_COINTREV_V3_L30__E251119 | AUDNZD | FRA40 | 1 | 2026-05-28T14:38:28Z
1cf46c53627fe739655812b2 | 90_PORT_AUDUSDNZDUSD_15M_COINTREV_V3_L30__E231229 | AUDUSD | NZDUSD | 1 | 2026-05-28T14:38:29Z
4680f72ee78097fc4281e533 | 90_PORT_AUDUSDNZDJPY_15M_COINTREV_V3_L30__E260409 | AUDUSD | NZDJPY | 1 | 2026-05-28T14:38:30Z
ca6b97ac8f0dd62d128f3057 | 90_PORT_AUDUSDUSDCHF_15M_COINTREV_V3_L30__E251031 | AUDUSD | USDCHF | 1 | 2026-05-28T14:38:31Z
d93f868fb2894963d0ce9bd1 | 90_PORT_AUDUSDGER40_15M_COINTREV_V3_L30__E251104 | AUDUSD | GER40 | 1 | 2026-05-28T14:38:31Z
